essential, xorg, X server
essential, xorg-xinit, Display server boot
essential, man, Manual
essential, man-pages, Manual pages
essential, pacman-contrib, Tools for pacman such as checkupdates
essential, xsecurelock, Locking application
essential, xss-lock, X-Lock screen saverX-Lock screen saver
network, openssh, Remote login tool for SSH protocol
network, networkmanager, Network manager
tools, rsync, Synchronizing files across computers
tools, xsel, Manipulate the X selection
tools, fzf, Command line fuzzy finder
tools, udiskie, Automount devices
tools, xcape, Configure modifier keys to act as other keys
tools, ripgrep, Faster alternative to grep
tools, htop, Interactive process viewer
tools, ranger, File Manager
tmux, tmux, Terminal Multiplexer
tmux, tmuxp, Configure tmux session + windows + panes via config files
git, git, Version control system
zsh, zsh, Unix shell (Z-Shell)
zsh, zsh-completions, Additional completions in Zsh
zsh, zsh-syntax-highlighting, Syntax highlighting for ZSH
neovim, neovim, editor
neovim, python-neovim, Python for neovim 
neovim, python2-neovim, Python2 for neovim (AUR)
neovim, ruby-neovim, Ruby for neovim (AUR)
neovim, nodejs-neovim, Nodejs for neovim (AUR)
js, nodejs, Nodejs (for coc.vim)
js, yarn, Dependency manager (for coc.vim )
urxvt, rxvt-unicode, Terminal Urxvt
urxvt, urxct-tabbedex-mina86-git, Imporved tabs for Urxvt (AUR)
bspwm, bspwm, Window manager
bspwm, polybar, statusbar for bspwm
bspwm, sxhkd, hotkeybindings
bspwm, rofi, programluncher and much more
bspwm, ly, Display Manager
firefox, firefox, Browser firefox


